"Tuy hàng mã VN/A luôn trong tình trạng cháy hàng, các Store chỉ bán cho khách cọc với giá 32-33tr. Trên app Tiki báo hết hàng liên tục mình khá bực mình nhưng cứ 1 vài tiếng Tiki lại cập nhật lại tồn kho nên cũng mua được. Đặt 10h30 sáng 11h30 nhận hàng, giao siêu nhanh. Tiki còn cẩn thận niêm phong thêm bằng Tem của Tiki. Mình mua với giá 33.990K nhưng áp dụng Coupon 2tr (thực tế là 1tr5 vì mua coupon với giá 500K) + Thẻ Tín dụng Sacombank giảm thêm 3tr (giảm thẳng 2tr, cashback 1tr). Tổng thiệt hại 29.490K và được nhận máy sớm trong ngày 27.11. Tiki khá tâm lý khi tặng thêm 1 Củ sạc Anker. Mình đã mua củ 20W của Iphone nhưng củ mà Tiki tặng sẽ đề phòng những lúc quên mang.",1
"Hàng chính hãng mã VN, mình mua trước 27.11 giá 31tr, giá cũng tạm chấp nhận được, không biết có tự động kích hoạt điện tử hay phải tự kích hoạt. Màu xanh đẹp lắm, màu trắng chắc cũng đẹp nhưng mình sợ 12 Pro Max màu trắng nhìn to nên lấy màu xanh cho đúng bản 12 pro max",1
"Many thank tiki, mình mua theo dạng đặt trước, đặt 16/11/2020, tiki hẹn 30/11/2020 giao, đến 27/11/2020 mình nhận máy, kiểm tra bảo hành đến 26/11/2021. Giá rẻ hơn bên ngoài 6 triệu, được tặng kèm dock sạc anker. Mình thấy quá tốt.",1
"Hàng chính hãng , nguyên siêu . Tiki giao hàng nhanh . Được tặng cục sạc Anker nhỏ xinh mà sạc rất nhanh. Chọn được màu hợp ý . Bữa giờ sử dụng thấy pin trâu hơn điện thoại android nhiều lắm. Đặc biệt là giá Tiki rẻ hơn nhiều chỗ khác nếu áp dụng thẻ tín dụng phù hợp.",1
"Mình đặt được bản màu Gold - dù đợt này là cháy hàng màu này. Sáng vào check thấy chỉ có bản màu xanh dương, F5 vài lần đúng lúc Tiki cập nhật sản phẩm thế là đặt luôn. Nói chung quá hài lòng, giá tốt, hàng thì quá chuẩn không phải bàn rồi. Đặt hàng từ trưa thứ 2, trưa thứ 5 nhận được, do hàng chuyển từ TP.HCM ra Hà Nội Hơi buồn xíu là được tặng kèm củ sạc Anker 18W chứ không phải 20W.",1
"Order Tiki giao nhanh trong một nốt nhạc, giá ngon hơn order bên ngoài mà còn có máy liền tay và được tặng thêm cục sạc 20w sịn xò. Tiki quá tuyệt vời, 10/10❤️",1
"Nhận hàng nhanh như tia chớp, đặt lúc 10h35 mà 11h50 shipper gọi nhận hàng rồi... hàng check chuẩn, đóng gói có seal TIKI...lại đc giảm giá thanh toán... ngon lành luôn 🥰🥰🥰🥰🥰🥰",1
Mới mua sáng nay. Giảm hơn 1 tr so với giá của ngày hôm qua cộng với có thẻ sacombank giảm thêm 2tr nữa tổng cộng là 3 tr. Đúng là không mua ngày hôm qua là sáng suôt kaka,1
Mình mua được giảm 2 triệu sacombank nên tính ra same same viettel mà tiki lại sẵn hàng. Rất hài lòng với tiki. Tiki tặng kèm sạc anker. Service tốt.,1
"Giao hàng nhanh, giá rẻ, tự nhiên mình add thẻ VIB vô để trả góp 12 tháng thì được giảm thêm 2 tr. Tính ra 31t thôi mà màu gold, có hàng sớm. Cám ơn Tiki nhìu nhìu",1
"mọi thứ đều tốt từ chương trình, đến trải nghiệm mua hàng trong 30 s, giao hàng trong 6 nốt nhạc ! Chỉ khổ nỗi nhanh quá làm hớ hênh đặt xanh thành xám... buồn ko muốn mở hộp luôn.",0
"Giao hàng nhanh! mình ở biên hoà, 28/11 có hàng rồi! mình cứ nghĩ đợi lâu như bên laza hay các store báo đến giữa tháng 12 trở đi mới giao",1
"Ship hàng cũng tương đối nhanh, gần 3 ngày thì tới. Hàng đúng như mô tả, nguyên seal. Tuy nhiên cục sạc tặng Anker thì có dấu hiệu bóc seal ra rồi, dù sao là hàng tặng nên cũng cảm ơn.",0
"Giao hàng nhanh hơn mong đợi, đã mua 2 chiếc iphone dòng cao cấp nhất tại Tiki và mong tiki luôn uy tín như vậy.",1
"Do ở hà nội nên giao hàng từ SGN ra mất 4 ngày, về chất lượng sản phẩm thì rất ưng hàn chính hãng ,đóng gói chắc chắn",1
"Sản phẩm tốt chuẩn, tiki làm việc chuyên nghiệp, tôi rất hài lòng. Hiện tại ng nhà rất hay nhờ tôi mua hộ vì đc rẻ và tốt. Tôi luôn chọn tiki!",1
"Sản phẩm ok, Tiki giao cực nhanh. Được tặng kèm cục sạc nhanh rất xịn xò. Tiki tự động chuyển qua trả góp đối với các loại thẻ luôn nhé",1
"Hàng chính hãng, nguyên siu và đóng gói cẩn thận, giao hàng siêu nhanh. Hàng Tiki đúng chuẩn men.",1
"Giao hàng rất nhanh, máy mượt xài ổn định, mua bên fpt đợt cọc đầu 30.900k, nhưng tiki có giảm 400k vẫn vui",1
Không thấy coupon mua ốp UAG,2
"Giao nhanh ,tiện lợi giá ko được giam nên hơi cao",0
"Hàng đẹp chính hãng, đặt hàng sau 1 tuần chờ đợi từ Hà Nội.. cuối cùng cũng về.. !!",0
"Giao hàng hơi lòng vòng mãi mới nhận được, sản phẩm ok chính hãng.",0
"Giao hàng rất nhanh, tiki có bổ sung thêm seal an toàn nên yên tâm hơn. Yên tâm về chất lượng của Tiki Trading",1
"Tiki giao hàng đúng hẹn,điện thoại đẹp mình rất thích.",1
Giao hàng sớm hơn dự kiến. Hàng chuẩn mã VN/A. Lần thứ hai mua iPhone trên Tiki. Giá tốt. Xứng đáng 5 sao.,1
Chuyển hàng nhanh Có tem của Tiki bên ngoài chống đổi khá là yên tâm Có tặng kèm củ sạc khá tiền vs mình Hàng chất lượng,1
Tiki giao hàng nhanh #3h là nhận được máy. Đóng gói cẩn thận. Hiện tại máy hoạt động tốt.,1
"Máy chính hãng VNA, giao cực nhanh trong 1 tiếng, nhân viên giao hàng nhiệt tình. Máy đẹp nguyên seal, đóng gói kỹ càng.",1
"Giao đúng hẹn, máy đẹp bọc rất kỹ. To hơn 11 pro max 1 xíu xiu.",0
"Hàng chính hãng vna, nguyên seal, giao hàng nhanh chính xác, đặt hàng tối thứ sáu, nhận hàng sáng thứ bảy lúc 9h",1
Hàng hiếm mà vẫn được giá tốt. Tks,1
"Giao hàng nhanh hơn dự kiến, dự kiến ngày 30/11 nhưng ngày 27/11 đã nhận hàng. Màu này blue cực đẹp. ❤️😍",1
"Hàng chính hãng, giao hàng tương đối lâu. Nói chung sản phẩm ok 👍",0
"Giá chấp nhận được. Giao hàng đúng lịch. Củ sạc nhanh ok. Điện thoại đúng hàng chính hãng, nguyên seal.",0
"Hàng giao chuẩn.. đóng gói tốt, hàng tốt. Nhân viên giao hàng dễ thương lịch sự",1
máy đẹp mới chưa acveti phụ kiện kèm đầy đủ nhưng chưa có hoá đơn đỏ :)),0
Đặt từ 20/11 mà đến hôm nay (5/12) mới giao hàng. Chấp nhận đc cái giá thôi.,0
"Cực kỳ hài lòng, cảm ơn Tiki",1
máy chuẩn nhưng ko biết tại sao ở viền có dấu bám vân tay lúc mở hộp,0
"Sản phẩm rất ok, giao hàng nhanh, dịch vụ tốt, có nhu cầu luôn ủng hộ",1
Tất cả mọi thứ đều tốt. Giao hàng nhanh hơn thì khách hàng cảm nhận thích thú hơn nữa.,1
"Hàng VNA đúng thông tin, hoàn toàn hài lòng.",1
"Nhận trong ngày 27/11 luôn, nhanh, mà canh mãi mới có mào xanh . meeeee",1
"Giao hàng nhanh lắm luôn, hàng chính hãng",1
Chưa thấy coupon giảm 40% mua ốp UAG,0
"hàng tốt chính hãng, mặc dù mình mới mua xong lại giảm 1tr hơi tiếc nhưng hài lòng",0
Giao đúng giờ. Set up ngon lành. Quà tặng đúng lúc ;),1
"giao hàng nhanh, kỹ , máy tốt",1
"Giao nhanh, hang vn/a chính hãng",1
Hàng chính hãng. Cám ơn shop,1
người việt nam vẳn thích sài hàng vn/a quá chuẩn,1
hàng mua mới 100% chất lượng tốt. nguyên seal. Giao hàng nhanh . Thank Tiki,1
"Rất tuyệt vời, giao hàng nhanh quá, mới đặt tối qua sáng nay 8g có rồi",1
Chính sách hoá đơn trên 20tr support không tốt.,2
Giao hàng nhanh giá tốt,0
"Giao hàng cực chậm.. đặt ngày 1, đến ngày 7 mới nhận được hàng",2
Giao sớm hơn dự kiến. Có điều không thấy mã giảm giá uag đính kèm.,0
thích màu xanh hơn nhưng màu vàng cũng đẹp,0
Dùng được 3 ngày không lên nguồn kết qua mang ra hãng đang chờ hồi âm,2
Cục kỳ hài lòng. Dịch vụ tiki tốt.,1
Gửi hàng nhanh tốc độ. Tiki xịn xò,1
"Sản phẩm chính hãng, gia hàng nhanh",1
"Tặng anker 18w, trong khi các lần trước mình mua đều 20W",0
mua về trải nghiệm coi 12pro và 12pro max nó khác nhau gì,0
"Đúng mã VN chưa active, duyệt",1
"Hàng chính hãng, giao hàng nhanh",1
"Hàng nguyên seal, chính hãng. Đóng gói cẩn thận. Tks",1
"Hàng chuẩn, thủ tục nhanh gọn, giao hàng siêu nhanh",1
Hàng chuẩn.nhân viên tiki đồng kiểm mở hàng quá ok,1
"điện thoại nguyên seal, giao nhanh, giá siêu yêu",1
"Sản phẩm đẹp ,cám ơn Tiki giao hàng rất nhanh",1
Hài lòng thiệt sự,1
"Màu đẹp, giao nhanh nè, nói chung rất là thích",1
Hàng chuẩn giao nhanh.,1
"Giao hàng nhanh, máy chuẩn, nói chung là ổn",1
Giao hàng nhanh uy tín,1
Hàng tốt giá tốt,1
"Sản phẩm ok,chinh hang,giao hàng nhanh",1
"Giao nhanh, đúng hàng, tuyệt vời",1
Giao nhanh hơn rất nhiều so với hẹn,1
"Quá tốt, ko gì phải phàn nàn",1
"Hài Lòng, về sớm hơn 1 ngày",1
iphone 12 pro max xanh đẹp,0
sao không thấy sạc khuyến mại nhỉ,0
Mình mua điện thoại này tặng cho ba nên quyết định thử mua trên tiki.. điện thoại nhẹ có hộp đựng và có cục sạc đi kèm..Chất lượng về lâu dài thì mình không biết như thế nào như hiện tại thì sản phẩm ok ok nhé.. 2 sim 2 sóng...Màu đen nhỏ gọn nhưng vẫn sang nam tính nhé. ♥️,1
"Điện thoại trầy ở 2 đầu. Miếng dán màn hình không có như điện thoại mới. Như đã bị sử dụng. Thấy mọi người đánh giá tốt nên mua thử, nhưng mua rồi giờ thấy không như quảng cáo 😢",2
"Mình mới nhận được điện thoại, nhưng mà có một phím ""*"" bị lỗi mỗi lần mình mở bàn điện thoại rất khó, phải bấm nhiều lần và ấn mạnh mới mở được, lần trước mình mua xài rất tốt, nên mình mới mua lần 2, mà lần này lại bị lỗi.",0
rất ưng về cái vẻ bề ngoài nghe gọi ok còn xài bền không pin sạc thế nào thì ít ngày nửa mới biêt trước mắt ok lắm nên mua nha mọi người,1
"vì gửi cho tôi không phải máy tôi mua, máy tôi mua là máy THTphone F7 đỏ chứ đâu phải máy ANTC này đâu",2
"Đã nhận được điện thoại như hình rất ok về hình dáng mẫu mã, cấu hình, còn lại phải xài vài tháng mới biết điện thoại ok không",0
"Mình mua 2 chiếc mà chiếc màu đen bình thường còn chiếc màu đỏ sạc pin không vào, đổi trả giúp mình nha tiki",0
máy điện thoại lắp thẻ sim ko nhận trong khi sim vẫn hoạt động tốt ở các máy khác?,2
"loa trong k nghe được,chỉ mở loa ngoài thi mới nghe được, shop xem thu hồi máy đổi lại.",2
"Chán ghê, mua nhiều mà bạn lại không có hộp máy. Toàn hộp thùng mì",2
"nhạc chuông nghe thì lớn, nhưng khi nói chuyện điện thoại âm thanh của người đầu dây kia thì nhỏ",2
sản phẩm lỗi mua về ko dùng đc khuyên mọi người không nên mua 🙄🙄🙄,2
"sản phẩm này quá tồi, không xử dụng phải cho vào thùng rác.",2
Sản phẩm nhẹ pin thì chưa biết như thế nào dùng làm máy phụ chắc oke,0
"nhìn về ngoài thì rất đẹp, nhưng mỗi tội pin quá hao nhanh",0
sao không có mục đổi trả hàng à.mình mua mà sạc pin không vo.muốn đổi trả mà không được,2
sản phẩm y mẫu nhưng ko sử dụng được,2
Điện thoại nhìn khá ổn nhưng pin bị phồng và lắp và rất khó,2
xài có mấy hôm không lên nguồn hư luôn.không biết bảo hành ở đâu dởm quá,2
sử dụng cũng ok nhưng không biết thời gian dài thì sao.nhưng pin hao nhanh quá,0
vừa sài được một tuần thì hư,2
"không hài lòng, máy không nhận được thẻ nhớ",2
tốt lẳm rất thích điện thoại này cho điểm năm sao,1
giao sai sản phẩm tệ 1*.,2
đt nghe gọi nhưng sóng cực yếu,0
